Origin City,Origin Airport,Dest. City,Dest Airport,Flight Date,Day of Week,Airline,Price,Duration,Miles
Atlanta,ATL,Fort Lauderdale,FLL,2023-12-15,4,Delta,329,1:58,582
Atlanta,ATL,Fort Lauderdale,FLL,2023-12-15,4,Spirit Airlines,209,1:57,582
Atlanta,ATL,Fort Lauderdale,FLL,2023-12-15,4,JetBlue,254,1:49,582
Atlanta,ATL,Fort Lauderdale,FLL,2023-12-15,4,Spirit Airlines,254,1:59,582
Atlanta,ATL,Fort Lauderdale,FLL,2023-12-15,4,Spirit Airlines,320,1:57,582
Atlanta,ATL,Fort Lauderdale,FLL,2023-12-15,4,Delta,329,1:58,582
Atlanta,ATL,Fort Lauderdale,FLL,2023-12-15,4,Delta,329,1:59,582
Atlanta,ATL,Fort Lauderdale,FLL,2023-12-15,4,Delta,449,1:53,582
Atlanta,ATL,Fort Lauderdale,FLL,2023-12-15,4,Delta,449,1:54,582
Atlanta,ATL,Fort Lauderdale,FLL,2023-12-15,4,Delta,449,1:54,582
Atlanta,ATL,Fort Lauderdale,FLL,2023-12-15,4,Delta,449,1:54,582
Atlanta,ATL,Fort Lauderdale,FLL,2023-12-15,4,Delta,449,1:57,582
Atlanta,ATL,Fort Lauderdale,FLL,2023-12-15,4,Delta,449,1:57,582
Atlanta,ATL,Fort Lauderdale,FLL,2023-12-15,4,Delta,449,1:59,582
Atlanta,ATL,Fort Lauderdale,FLL,2023-12-15,4,Spirit Airlines,216,8:09,582
Atlanta,ATL,Fort Lauderdale,FLL,2023-12-15,4,Delta,569,1:53,582
Atlanta,ATL,Fort Lauderdale,FLL,2023-12-16,5,Frontier,103,1:53,582
Atlanta,ATL,Fort Lauderdale,FLL,2023-12-16,5,Frontier,77,1:53,582
Atlanta,ATL,Fort Lauderdale,FLL,2023-12-16,5,JetBlue,224,1:49,582
Atlanta,ATL,Fort Lauderdale,FLL,2023-12-16,5,JetBlue,224,1:49,582
Atlanta,ATL,Fort Lauderdale,FLL,2023-12-16,5,Delta,254,1:53,582
Atlanta,ATL,Fort Lauderdale,FLL,2023-12-16,5,Delta,254,1:54,582
Atlanta,ATL,Fort Lauderdale,FLL,2023-12-16,5,Delta,254,1:56,582
Atlanta,ATL,Fort Lauderdale,FLL,2023-12-16,5,Spirit Airlines,314,1:54,582
Atlanta,ATL,Fort Lauderdale,FLL,2023-12-16,5,Spirit Airlines,314,1:57,582
Atlanta,ATL,Fort Lauderdale,FLL,2023-12-16,5,Delta,329,1:53,582
Atlanta,ATL,Fort Lauderdale,FLL,2023-12-16,5,Delta,329,1:53,582
Atlanta,ATL,Fort Lauderdale,FLL,2023-12-16,5,Delta,329,1:54,582
Atlanta,ATL,Fort Lauderdale,FLL,2023-12-16,5,Delta,329,1:54,582
Atlanta,ATL,Fort Lauderdale,FLL,2023-12-16,5,Delta,329,1:57,582
Atlanta,ATL,Fort Lauderdale,FLL,2023-12-16,5,Delta,329,1:58,582
Atlanta,ATL,Fort Lauderdale,FLL,2023-12-16,5,Delta,329,1:58,582
Atlanta,ATL,Fort Lauderdale,FLL,2023-12-17,6,Delta,254,1:53,582
Atlanta,ATL,Fort Lauderdale,FLL,2023-12-17,6,Spirit Airlines,163,1:57,582
Atlanta,ATL,Fort Lauderdale,FLL,2023-12-17,6,Frontier,168,1:53,582
Atlanta,ATL,Fort Lauderdale,FLL,2023-12-17,6,JetBlue,224,1:49,582
Atlanta,ATL,Fort Lauderdale,FLL,2023-12-17,6,Frontier,228,1:53,582
Atlanta,ATL,Fort Lauderdale,FLL,2023-12-17,6,Spirit Airlines,237,1:54,582
Atlanta,ATL,Fort Lauderdale,FLL,2023-12-17,6,JetBlue,254,1:49,582
Atlanta,ATL,Fort Lauderdale,FLL,2023-12-17,6,Delta,254,1:53,582
Atlanta,ATL,Fort Lauderdale,FLL,2023-12-17,6,Delta,254,1:54,582
Atlanta,ATL,Fort Lauderdale,FLL,2023-12-17,6,Spirit Airlines,254,1:55,582
Atlanta,ATL,Fort Lauderdale,FLL,2023-12-17,6,Spirit Airlines,313,1:56,582
Atlanta,ATL,Fort Lauderdale,FLL,2023-12-17,6,Delta,329,1:53,582
Atlanta,ATL,Fort Lauderdale,FLL,2023-12-17,6,Delta,329,1:53,582
Atlanta,ATL,Fort Lauderdale,FLL,2023-12-17,6,Delta,329,1:54,582
Atlanta,ATL,Fort Lauderdale,FLL,2023-12-17,6,Delta,329,1:54,582
Atlanta,ATL,Fort Lauderdale,FLL,2023-12-17,6,Delta,329,1:54,582
Atlanta,ATL,Fort Lauderdale,FLL,2023-12-18,0,Spirit Airlines,103,1:57,582
Atlanta,ATL,Fort Lauderdale,FLL,2023-12-18,0,Spirit Airlines,101,1:57,582
Atlanta,ATL,Fort Lauderdale,FLL,2023-12-18,0,Spirit Airlines,87,8:19,582
Atlanta,ATL,Fort Lauderdale,FLL,2023-12-18,0,Frontier,110,1:53,582
Atlanta,ATL,Fort Lauderdale,FLL,2023-12-18,0,Spirit Airlines,170,1:57,582
Atlanta,ATL,Fort Lauderdale,FLL,2023-12-18,0,JetBlue,179,1:49,582
Atlanta,ATL,Fort Lauderdale,FLL,2023-12-18,0,JetBlue,179,1:49,582
Atlanta,ATL,Fort Lauderdale,FLL,2023-12-18,0,Delta,209,1:53,582
Atlanta,ATL,Fort Lauderdale,FLL,2023-12-18,0,Delta,209,1:53,582
Atlanta,ATL,Fort Lauderdale,FLL,2023-12-18,0,Delta,209,1:53,582
Atlanta,ATL,Fort Lauderdale,FLL,2023-12-18,0,Delta,209,1:54,582
Atlanta,ATL,Fort Lauderdale,FLL,2023-12-18,0,Delta,209,1:54,582
Atlanta,ATL,Fort Lauderdale,FLL,2023-12-18,0,Delta,209,1:54,582
Atlanta,ATL,Fort Lauderdale,FLL,2023-12-18,0,Delta,209,1:56,582
Atlanta,ATL,Fort Lauderdale,FLL,2023-12-18,0,Delta,209,1:56,582
Atlanta,ATL,Fort Lauderdale,FLL,2023-12-18,0,Delta,209,1:57,582
Atlanta,ATL,Fort Lauderdale,FLL,2023-12-18,0,Delta,209,1:58,582
Atlanta,ATL,Fort Lauderdale,FLL,2023-12-19,1,Spirit Airlines,58,1:57,582
Atlanta,ATL,Fort Lauderdale,FLL,2023-12-19,1,Frontier,53,1:53,582
Atlanta,ATL,Fort Lauderdale,FLL,2023-12-19,1,Frontier,55,1:53,582
Atlanta,ATL,Fort Lauderdale,FLL,2023-12-19,1,Spirit Airlines,57,1:57,582
Atlanta,ATL,Fort Lauderdale,FLL,2023-12-19,1,Spirit Airlines,83,1:55,582
Atlanta,ATL,Fort Lauderdale,FLL,2023-12-19,1,Spirit Airlines,100,1:58,582
Atlanta,ATL,Fort Lauderdale,FLL,2023-12-19,1,Spirit Airlines,130,1:57,582
Atlanta,ATL,Fort Lauderdale,FLL,2023-12-19,1,Spirit Airlines,136,1:54,582
Atlanta,ATL,Fort Lauderdale,FLL,2023-12-19,1,JetBlue,179,1:49,582
Atlanta,ATL,Fort Lauderdale,FLL,2023-12-19,1,JetBlue,179,1:49,582
Atlanta,ATL,Fort Lauderdale,FLL,2023-12-19,1,Delta,209,1:53,582
Atlanta,ATL,Fort Lauderdale,FLL,2023-12-19,1,Delta,209,1:53,582
Atlanta,ATL,Fort Lauderdale,FLL,2023-12-19,1,Delta,209,1:53,582
Atlanta,ATL,Fort Lauderdale,FLL,2023-12-19,1,Delta,209,1:54,582
Atlanta,ATL,Fort Lauderdale,FLL,2023-12-19,1,Delta,209,1:54,582
Atlanta,ATL,Fort Lauderdale,FLL,2023-12-19,1,Delta,209,1:54,582
Atlanta,ATL,Fort Lauderdale,FLL,2023-12-20,2,Spirit Airlines,58,1:57,582
Atlanta,ATL,Fort Lauderdale,FLL,2023-12-20,2,Frontier,50,1:53,582
Atlanta,ATL,Fort Lauderdale,FLL,2023-12-20,2,Spirit Airlines,57,1:57,582
Atlanta,ATL,Fort Lauderdale,FLL,2023-12-20,2,Spirit Airlines,101,1:54,582
Atlanta,ATL,Fort Lauderdale,FLL,2023-12-20,2,Spirit Airlines,101,1:55,582
Atlanta,ATL,Fort Lauderdale,FLL,2023-12-20,2,Spirit Airlines,103,1:57,582
Atlanta,ATL,Fort Lauderdale,FLL,2023-12-20,2,Spirit Airlines,131,1:58,582
Atlanta,ATL,Fort Lauderdale,FLL,2023-12-20,2,JetBlue,179,1:49,582
Atlanta,ATL,Fort Lauderdale,FLL,2023-12-20,2,JetBlue,179,1:49,582
Atlanta,ATL,Fort Lauderdale,FLL,2023-12-20,2,Delta,209,1:52,582
Atlanta,ATL,Fort Lauderdale,FLL,2023-12-20,2,Delta,209,1:53,582
Atlanta,ATL,Fort Lauderdale,FLL,2023-12-20,2,Delta,209,1:53,582
Atlanta,ATL,Fort Lauderdale,FLL,2023-12-20,2,Delta,209,1:53,582
Atlanta,ATL,Fort Lauderdale,FLL,2023-12-20,2,Delta,209,1:54,582
